Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,17.7089
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,83.1356
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,76.9081
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,95.4456
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,44.7581
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,77.5756
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,89.229
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,79.9966
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,97.0631
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,95.3347
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,89
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas, The",BHS,94.8186
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR,100
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD,44.5027
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB,79.9923
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR,91.5125
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL,94.6263
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ,72.3595
Individuals using the Internet (% of population),IT.NET.USER.ZS,Benin,BEN,32.2083
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bermuda,BMU,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bhutan,BTN,88.426
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bolivia,BOL,70.2368
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bosnia and Herzegovina,BIH,83.3772
Individuals using the Internet (% of population),IT.NET.USER.ZS,Botswana,BWA,81.36
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA,84.1506
Individuals using the Internet (% of population),IT.NET.USER.ZS,British Virgin Islands,VGB,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brunei Darussalam,BRN,99.0336
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bulgaria,BGR,80.3896
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burkina Faso,BFA,17.0226
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burundi,BDI,11.0784
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cabo Verde,CPV,73.539
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cambodia,KHM,60.7171
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cameroon,CMR,41.9088
